metricname,COLORECTAL,COLORECTAL,COLORECTAL,COLORECTAL,COLORECTAL,COLORECTAL,COLORECTAL,COLORECTAL,COLORECTAL,COLORECTAL,COLORECTAL,DM-EYE,DM-EYE,DM-EYE,DM-EYE,DM-EYE,DM-EYE,DM-EYE,DM-EYE,DM-EYE,DM-EYE,DM-EYE,DM-FOOT,DM-FOOT,DM-FOOT,DM-FOOT,DM-FOOT,DM-FOOT,DM-FOOT,DM-FOOT,DM-FOOT,DM-FOOT,DM-FOOT,DM-KIDNEY,DM-KIDNEY,DM-KIDNEY,DM-KIDNEY,DM-KIDNEY,DM-KIDNEY,DM-KIDNEY,DM-KIDNEY,DM-KIDNEY,DM-KIDNEY,DM-KIDNEY,DM-PPSV,DM-PPSV,DM-PPSV,DM-PPSV,DM-PPSV,DM-PPSV,DM-PPSV,DM-PPSV,DM-PPSV,DM-PPSV,DM-PPSV,MAMMO,MAMMO,MAMMO,MAMMO,MAMMO,MAMMO,MAMMO,MAMMO,MAMMO,MAMMO,MAMMO,PAP,PAP,PAP,PAP,PAP,PAP,PAP,PAP,PAP,PAP,PAP,TDAP,TDAP,TDAP,TDAP,TDAP,TDAP,TDAP,TDAP,TDAP,TDAP,TDAP
Provider,BBFM,BellB,FCN,FFMC,FHA,IFP,LFM,NCFP,NSFM,SFM,WFM,BBFM,BellB,FCN,FFMC,FHA,IFP,LFM,NCFP,NSFM,SFM,WFM,BBFM,BellB,FCN,FFMC,FHA,IFP,LFM,NCFP,NSFM,SFM,WFM,BBFM,BellB,FCN,FFMC,FHA,IFP,LFM,NCFP,NSFM,SFM,WFM,BBFM,BellB,FCN,FFMC,FHA,IFP,LFM,NCFP,NSFM,SFM,WFM,BBFM,BellB,FCN,FFMC,FHA,IFP,LFM,NCFP,NSFM,SFM,WFM,BBFM,BellB,FCN,FFMC,FHA,IFP,LFM,NCFP,NSFM,SFM,WFM,BBFM,BellB,FCN,FFMC,FHA,IFP,LFM,NCFP,NSFM,SFM,WFM
lastupdate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-01,55.1694,72.3714,69.4708,70.4866,74.6195,58.3648,70.4389,59.3007,77.2393,72.3109,71.787,39.0977,39.9521,41.372,44.536,44.328,43.8679,46.0317,41.4596,32.6765,38.2352,40.0843,81.5789,62.6794,76.8728,73.8144,70.8551,77.5943,81.4814,77.0186,82.5944,76.1764,87.3417,69.1729,74.4019,72.159,71.3402,72.2513,58.4905,75.0,74.6894,77.8325,67.3529,73.8396,28.9473,30.8612,31.2289,33.1958,18.6736,10.1415,49.3386,28.8819,39.2446,33.8235,22.7848,51.4506,69.2759,67.6826,74.1444,73.5682,50.4811,66.3132,62.3188,73.2519,71.0432,69.44,42.576,68.3511,67.6665,81.0063,76.1341,71.9504,54.1745,54.0078,69.823,71.0993,63.2897,63.4912,78.0791,77.7431,80.7875,82.0153,57.5743,85.4803,73.3669,82.1919,78.5892,79.489
2017-01-02,55.0825,72.3714,69.4343,70.4866,74.5992,58.3175,70.4046,59.2131,77.2393,72.2689,71.787,38.7218,40.909,42.175,44.7422,46.4223,44.1037,46.0317,41.9504,33.1691,42.3529,40.5063,81.5789,63.1578,76.9246,73.8144,70.8551,77.5943,81.4814,77.0897,82.5944,76.1764,87.3417,69.1729,74.4019,72.1708,71.3402,72.2513,58.4905,75.0,74.7678,77.8325,67.3529,73.8396,28.9473,30.8612,31.2578,33.1958,18.6736,10.1415,49.3386,29.1021,39.2446,33.8235,22.7848,51.4506,69.3411,67.7368,74.169,73.6661,50.4811,66.3947,62.491,73.237,71.0432,69.6,42.9338,68.289,67.652,81.0332,76.1341,71.9504,54.1745,53.9883,69.7933,71.0513,63.2897,63.4912,78.0641,77.7267,80.7673,82.0153,57.5507,85.4335,73.3622,82.1769,78.5892,79.489
2017-01-03,55.0522,72.4435,69.4478,70.4284,74.5992,58.3175,70.4046,59.3435,77.2244,72.3673,71.7325,39.3258,41.6867,42.6319,44.6502,47.3776,44.5754,46.3672,42.3312,33.5526,43.3628,40.0843,81.6479,63.3734,77.1074,73.8683,70.979,77.5943,81.3738,77.3006,82.7302,77.5811,87.3417,69.2883,74.4578,72.1252,71.1934,71.8531,58.4905,74.9009,74.2331,78.125,68.1415,73.8396,28.8389,30.8433,31.2591,33.1275,18.5314,10.1415,49.2734,29.2944,39.3092,33.9233,22.7848,51.3513,69.3664,67.7232,74.0037,73.5812,50.4811,66.4489,62.2412,73.3333,71.266,69.7115,42.9338,68.3043,67.6586,80.9456,76.2056,71.9504,54.1979,53.7941,69.9211,71.1538,63.2208,63.5,78.1128,77.752,80.7259,82.0153,57.6351,85.4873,73.4007,82.1833,78.6708,79.4385
2017-01-04,54.9956,72.4435,69.4309,70.5699,74.667,58.3175,70.5458,59.2088,77.2269,72.3601,71.7656,39.3258,41.6867,42.4952,44.0573,47.6357,44.5754,46.3672,41.8777,33.0592,43.3628,40.5063,81.2734,62.6506,76.9729,73.7704,71.4535,77.5943,81.2417,76.7511,82.7302,77.5811,87.3417,69.6629,74.9397,72.0954,71.1065,71.4535,58.7264,75.033,74.0685,78.4539,67.8466,72.1518,28.8389,30.8433,31.3167,33.1967,18.5639,10.1415,49.2734,29.5081,39.3092,34.2182,22.7848,51.2524,69.7583,67.7159,73.8432,73.5682,50.7005,66.3947,61.9214,73.3296,71.3574,69.4533,42.959,68.3413,67.6128,80.845,76.198,72.1642,54.1692,53.5935,69.8224,71.127,63.3297,63.4182,78.1498,77.7758,80.8007,82.0431,57.6079,85.5429,73.5413,82.1638,78.7181,79.446
2017-01-05,55.1215,72.4401,69.4797,70.6385,74.667,58.353,70.7115,59.1997,77.2058,72.6165,71.7325,39.5522,41.9277,42.5385,44.1584,47.8108,44.4444,46.164,41.7159,33.3881,43.3628,40.5063,80.9701,62.4096,76.9487,73.8613,71.6287,77.7777,81.2169,76.4792,82.8947,77.5811,87.3417,69.4029,74.6987,72.0091,72.0792,71.2784,58.8652,75.0,73.6686,78.2894,67.8466,70.886,28.7313,30.8433,31.3672,33.2673,18.5639,10.1654,49.3386,29.5857,39.3092,34.5132,22.7848,51.2476,69.9149,67.7999,73.5621,73.5092,51.1383,66.6666,62.081,73.4785,71.3778,69.2307,42.8063,68.2539,67.5884,80.5498,76.3671,71.9504,54.2372,53.4916,69.8553,71.0235,63.3007,63.3732,78.0828,77.79,81.1451,81.9843,57.6559,85.5605,73.5836,82.1105,78.6572,79.461
2017-01-06,55.1694,72.5672,69.528,70.6506,74.7079,58.3609,70.7803,59.3847,77.1824,72.643,71.7325,39.5522,41.9277,42.4423,43.4234,47.7192,44.0758,46.164,41.6058,33.3881,43.3628,41.1764,80.9701,62.6506,76.8533,74.2342,71.5789,77.4881,81.2169,76.3503,82.7302,76.9911,86.9747,68.6567,74.6987,72.2817,74.054,71.5789,59.0047,75.0,73.7226,78.125,68.4365,71.0084,28.7313,30.8433,31.322,32.6126,18.5964,10.1895,49.3386,29.489,39.4736,34.5132,22.689,51.3409,69.7643,67.8324,73.175,73.5839,51.3584,66.7483,62.2406,73.4785,71.4082,69.2307,42.9078,68.2926,67.5805,79.9475,76.3351,72.1716,54.3,53.349,69.8193,70.9894,63.3405,63.305,78.0846,77.8317,81.4953,81.9301,57.7358,85.5517,73.6217,82.1173,78.6202,79.4256
2017-01-08,55.2173,72.4916,69.489,70.6235,74.6398,58.4083,70.7359,59.447,77.1848,72.4936,71.787,39.1791,41.4457,42.1614,43.1654,47.3684,43.6018,45.6349,41.4388,33.3881,43.3628,41.1764,80.9701,62.4096,76.6385,73.741,71.5789,77.7251,80.8201,75.6834,82.8947,76.6961,86.9747,68.6567,74.6987,72.0567,73.9208,71.7543,59.0047,74.3386,73.2374,77.9605,67.8466,71.0084,28.7313,30.8433,31.354,32.5539,18.5964,10.1895,49.3386,29.7841,39.4736,34.5132,22.689,51.1494,69.6989,67.7592,73.1514,73.5092,51.2708,66.7211,62.2602,73.3668,71.3471,69.12,42.8063,68.4171,67.5827,79.9344,76.2972,72.1354,54.3396,53.3802,69.7896,70.9475,63.5179,63.3183,78.0667,77.8357,81.4929,81.8386,57.835,85.5472,73.772,82.1095,78.5758,79.447
2017-01-09,55.2562,72.4801,69.5055,70.6275,74.6272,58.3886,70.6872,59.6229,77.1948,72.624,71.6565,39.0334,41.5458,42.1827,42.6116,47.3684,43.7054,45.6349,41.404,33.4431,44.2477,41.3502,80.6691,62.8019,76.9262,73.8831,71.7543,77.6722,81.4814,76.361,83.0313,76.9911,87.3417,68.4014,74.8792,72.3073,74.2268,72.1052,59.1448,74.7354,73.3524,78.0889,68.1415,71.7299,65.4275,79.4685,78.8473,83.6769,83.6842,58.1947,86.1111,70.6303,85.6672,83.1858,83.5443,51.1494,69.6732,67.7299,73.0569,73.4016,51.4486,66.8029,62.1603,73.2292,71.3167,69.12,42.7561,68.4035,67.5398,79.6284,76.3048,72.1172,54.3969,53.2152,69.7834,70.9274,63.4093,63.2917,78.0546,77.8519,81.5509,81.8326,57.7641,85.6074,73.9411,82.0686,78.5033,79.3818
