metricname,seen_num,seen_denom,ptsseen_avg,all_num,all_denom,ptsall_avg,seen_norptid,all_norptid,metricarea_id,db_rsid,lastupdate,metric_id,seen_num_over_denom,all_num_over_denom,
COLORECTAL,635,1151,55.169400,787,1776,44.313000,6564,6565,273,1,1/1/2017 12:00:00 AM,2063,0.551694,0.443130,
COLORECTAL,634,1151,55.082500,786,1776,44.256700,6564,6565,273,1,1/2/2017 12:00:00 AM,2063,0.550825,0.442567,
COLORECTAL,632,1148,55.052200,787,1779,44.238300,6564,6565,273,1,1/3/2017 12:00:00 AM,2063,0.550522,0.442383,
COLORECTAL,633,1151,54.995600,787,1782,44.163800,6564,6565,273,1,1/4/2017 12:00:00 AM,2063,0.549956,0.441638,
COLORECTAL,635,1152,55.121500,788,1782,44.219900,6564,6565,273,1,1/5/2017 12:00:00 AM,2063,0.551215,0.442199,
COLORECTAL,635,1151,55.169400,787,1780,44.213400,6564,6565,273,1,1/6/2017 12:00:00 AM,2063,0.551694,0.442134,
COLORECTAL,635,1150,55.217300,787,1780,44.213400,6564,6565,273,1,1/8/2017 12:00:00 AM,2063,0.552173,0.442134,
COLORECTAL,636,1151,55.256200,788,1779,44.294500,6564,6565,273,1,1/9/2017 12:00:00 AM,2063,0.552562,0.442945,
COLORECTAL,635,1153,55.073700,788,1779,44.294500,6564,6565,273,1,1/10/2017 12:00:00 AM,2063,0.550737,0.442945,
COLORECTAL,634,1150,55.130400,788,1778,44.319400,6564,6565,273,1,1/11/2017 12:00:00 AM,2063,0.551304,0.443194,
COLORECTAL,635,1153,55.073700,788,1780,44.269600,6564,6565,273,1,1/12/2017 12:00:00 AM,2063,0.550737,0.442696,
COLORECTAL,634,1150,55.130400,788,1780,44.269600,6564,6565,273,1,1/13/2017 12:00:00 AM,2063,0.551304,0.442696,
COLORECTAL,634,1149,55.178400,788,1780,44.269600,6564,6565,273,1,1/15/2017 12:00:00 AM,2063,0.551784,0.442696,
COLORECTAL,636,1150,55.304300,789,1780,44.325800,6564,6565,273,1,1/16/2017 12:00:00 AM,2063,0.553043,0.443258,
COLORECTAL,635,1150,55.217300,788,1780,44.269600,6564,6565,273,1,1/17/2017 12:00:00 AM,2063,0.552173,0.442696,
COLORECTAL,635,1150,55.217300,788,1780,44.269600,6564,6565,273,1,1/18/2017 12:00:00 AM,2063,0.552173,0.442696,
COLORECTAL,635,1148,55.313500,788,1780,44.269600,6564,6565,273,1,1/19/2017 12:00:00 AM,2063,0.553135,0.442696,
COLORECTAL,633,1146,55.235600,787,1780,44.213400,6564,6565,273,1,1/20/2017 12:00:00 AM,2063,0.552356,0.442134,
COLORECTAL,631,1144,55.157300,786,1779,44.182100,6564,6565,273,1,1/22/2017 12:00:00 AM,2063,0.551573,0.441821,
COLORECTAL,631,1145,55.109100,786,1781,44.132500,6564,6565,273,1,1/23/2017 12:00:00 AM,2063,0.551091,0.441325,
COLORECTAL,630,1144,55.069900,786,1779,44.182100,6564,6565,273,1,1/24/2017 12:00:00 AM,2063,0.550699,0.441821,
COLORECTAL,628,1142,54.991200,786,1778,44.206900,6564,6565,273,1,1/25/2017 12:00:00 AM,2063,0.549912,0.442069,
COLORECTAL,627,1141,54.951700,783,1768,44.287300,6564,6565,273,1,1/26/2017 12:00:00 AM,2063,0.549517,0.442873,
COLORECTAL,627,1142,54.903600,783,1768,44.287300,6564,6565,273,1,1/27/2017 12:00:00 AM,2063,0.549036,0.442873,
COLORECTAL,626,1140,54.912200,782,1767,44.255800,6564,6565,273,1,1/29/2017 12:00:00 AM,2063,0.549122,0.442558,
COLORECTAL,627,1141,54.951700,782,1771,44.155800,6564,6565,273,1,1/30/2017 12:00:00 AM,2063,0.549517,0.441558,
COLORECTAL,626,1140,54.912200,783,1771,44.212300,6564,6565,273,1,1/31/2017 12:00:00 AM,2063,0.549122,0.442123,
COLORECTAL,627,1142,54.903600,784,1771,44.268700,6564,6565,273,1,2/1/2017 12:00:00 AM,2063,0.549036,0.442687,
COLORECTAL,624,1137,54.881200,782,1770,44.180700,6564,6565,273,1,2/2/2017 12:00:00 AM,2063,0.548812,0.441807,
COLORECTAL,624,1136,54.929500,781,1771,44.099300,6564,6565,273,1,2/3/2017 12:00:00 AM,2063,0.549295,0.440993,
COLORECTAL,624,1135,54.977900,781,1771,44.099300,6564,6565,273,1,2/5/2017 12:00:00 AM,2063,0.549779,0.440993,
COLORECTAL,625,1136,55.017600,781,1771,44.099300,6564,6565,273,1,2/6/2017 12:00:00 AM,2063,0.550176,0.440993,
COLORECTAL,625,1133,55.163200,782,1770,44.180700,6564,6565,273,1,2/7/2017 12:00:00 AM,2063,0.551632,0.441807,
COLORECTAL,624,1133,55.075000,780,1768,44.117600,6564,6565,273,1,2/8/2017 12:00:00 AM,2063,0.550750,0.441176,
COLORECTAL,624,1133,55.075000,780,1767,44.142600,6564,6565,273,1,2/9/2017 12:00:00 AM,2063,0.550750,0.441426,
COLORECTAL,626,1136,55.105600,780,1768,44.117600,6564,6565,273,1,2/10/2017 12:00:00 AM,2063,0.551056,0.441176,
COLORECTAL,625,1136,55.017600,779,1768,44.061000,6564,6565,273,1,2/12/2017 12:00:00 AM,2063,0.550176,0.440610,
COLORECTAL,626,1138,55.008700,779,1770,44.011200,6564,6565,273,1,2/13/2017 12:00:00 AM,2063,0.550087,0.440112,
COLORECTAL,628,1138,55.184500,780,1771,44.042900,6564,6565,273,1,2/14/2017 12:00:00 AM,2063,0.551845,0.440429,
COLORECTAL,625,1136,55.017600,779,1771,43.986400,6564,6565,273,1,2/15/2017 12:00:00 AM,2063,0.550176,0.439864,
COLORECTAL,622,1132,54.946900,779,1771,43.986400,6564,6565,273,1,2/16/2017 12:00:00 AM,2063,0.549469,0.439864,
COLORECTAL,622,1131,54.995500,779,1771,43.986400,6564,6565,273,1,2/17/2017 12:00:00 AM,2063,0.549955,0.439864,
COLORECTAL,620,1130,54.867200,777,1770,43.898300,6564,6565,273,1,2/19/2017 12:00:00 AM,2063,0.548672,0.438983,
COLORECTAL,621,1134,54.761900,778,1770,43.954800,6564,6565,273,1,2/20/2017 12:00:00 AM,2063,0.547619,0.439548,
COLORECTAL,620,1134,54.673700,776,1770,43.841800,6564,6565,273,1,2/21/2017 12:00:00 AM,2063,0.546737,0.438418,
COLORECTAL,620,1135,54.625500,774,1763,43.902400,6564,6565,273,1,2/22/2017 12:00:00 AM,2063,0.546255,0.439024,
COLORECTAL,620,1136,54.577400,774,1762,43.927300,6564,6565,273,1,2/23/2017 12:00:00 AM,2063,0.545774,0.439273,
COLORECTAL,619,1134,54.585500,773,1764,43.820800,6564,6565,273,1,2/24/2017 12:00:00 AM,2063,0.545855,0.438208,
COLORECTAL,618,1134,54.497300,772,1764,43.764100,6564,6565,273,1,2/26/2017 12:00:00 AM,2063,0.544973,0.437641,
COLORECTAL,623,1136,54.841500,776,1764,43.990900,6564,6565,273,1,2/27/2017 12:00:00 AM,2063,0.548415,0.439909,
COLORECTAL,624,1137,54.881200,776,1763,44.015800,6564,6565,273,1,2/28/2017 12:00:00 AM,2063,0.548812,0.440158,
COLORECTAL,623,1136,54.841500,776,1763,44.015800,6564,6565,273,1,3/1/2017 12:00:00 AM,2063,0.548415,0.440158,
COLORECTAL,621,1135,54.713600,774,1765,43.852600,6564,6565,273,1,3/2/2017 12:00:00 AM,2063,0.547136,0.438526,
COLORECTAL,621,1135,54.713600,773,1762,43.870600,6564,6565,273,1,3/3/2017 12:00:00 AM,2063,0.547136,0.438706,
COLORECTAL,619,1131,54.730300,772,1762,43.813800,6564,6565,273,1,3/5/2017 12:00:00 AM,2063,0.547303,0.438138,
COLORECTAL,619,1132,54.681900,769,1760,43.693100,6564,6565,273,1,3/6/2017 12:00:00 AM,2063,0.546819,0.436931,
COLORECTAL,1241,2270,54.669600,1538,3519,43.705500,6564,6565,273,1,3/8/2017 12:00:00 AM,2063,0.546696,0.437055,
