metricname,seen_num,seen_denom,ptsseen_avg,all_num,all_denom,ptsall_avg,seen_norptid,all_norptid,metricarea_id,db_rsid,lastupdate,metric_id,seen_num_over_denom,all_num_over_denom,
COLORECTAL,17499,25189,69.470800,20239,32211,62.832500,6564,6565,273,1,1/1/2017 12:00:00 AM,2063,0.694708,0.628325,
COLORECTAL,17503,25208,69.434300,20242,32231,62.802800,6564,6565,273,1,1/2/2017 12:00:00 AM,2063,0.694343,0.628028,
COLORECTAL,17521,25229,69.447800,20271,32272,62.812900,6564,6565,273,1,1/3/2017 12:00:00 AM,2063,0.694478,0.628129,
COLORECTAL,17582,25323,69.430900,20338,32389,62.792900,6564,6565,273,1,1/4/2017 12:00:00 AM,2063,0.694309,0.627929,
COLORECTAL,17643,25393,69.479700,20400,32484,62.800100,6564,6565,273,1,1/5/2017 12:00:00 AM,2063,0.694797,0.628001,
COLORECTAL,17811,25617,69.528000,20586,32754,62.850300,6564,6565,273,1,1/6/2017 12:00:00 AM,2063,0.695280,0.628503,
COLORECTAL,17817,25640,69.489000,20603,32796,62.821600,6564,6565,273,1,1/8/2017 12:00:00 AM,2063,0.694890,0.628216,
COLORECTAL,17922,25785,69.505500,20696,32934,62.840800,6564,6565,273,1,1/9/2017 12:00:00 AM,2063,0.695055,0.628408,
COLORECTAL,18021,25933,69.490600,20806,33102,62.854200,6564,6565,273,1,1/10/2017 12:00:00 AM,2063,0.694906,0.628542,
COLORECTAL,18059,25979,69.513800,20856,33174,62.868500,6564,6565,273,1,1/11/2017 12:00:00 AM,2063,0.695138,0.628685,
COLORECTAL,18074,25998,69.520700,20869,33193,62.871600,6564,6565,273,1,1/12/2017 12:00:00 AM,2063,0.695207,0.628716,
COLORECTAL,18080,26004,69.527700,20870,33200,62.861400,6564,6565,273,1,1/13/2017 12:00:00 AM,2063,0.695277,0.628614,
COLORECTAL,18059,25982,69.505800,20860,33205,62.821800,6564,6565,273,1,1/15/2017 12:00:00 AM,2063,0.695058,0.628218,
COLORECTAL,18064,26003,69.468900,20855,33209,62.799200,6564,6565,273,1,1/16/2017 12:00:00 AM,2063,0.694689,0.627992,
COLORECTAL,18076,26014,69.485600,20865,33214,62.819800,6564,6565,273,1,1/17/2017 12:00:00 AM,2063,0.694856,0.628198,
COLORECTAL,18084,26024,69.489700,20866,33221,62.809600,6564,6565,273,1,1/18/2017 12:00:00 AM,2063,0.694897,0.628096,
COLORECTAL,18091,26033,69.492500,20872,33223,62.823900,6564,6565,273,1,1/19/2017 12:00:00 AM,2063,0.694925,0.628239,
