metricname,seen_num,seen_denom,ptsseen_avg,all_num,all_denom,ptsall_avg,seen_norptid,all_norptid,metricarea_id,db_rsid,lastupdate,metric_id,seen_num_over_denom,all_num_over_denom,
COLORECTAL,1347,1911,70.486600,1610,2571,62.621500,6564,6565,273,1,1/1/2017 12:00:00 AM,2063,0.704866,0.626215,
COLORECTAL,1347,1911,70.486600,1609,2570,62.607000,6564,6565,273,1,1/2/2017 12:00:00 AM,2063,0.704866,0.626070,
COLORECTAL,1348,1914,70.428400,1612,2576,62.577600,6564,6565,273,1,1/3/2017 12:00:00 AM,2063,0.704284,0.625776,
COLORECTAL,1362,1930,70.569900,1626,2590,62.779900,6564,6565,273,1,1/4/2017 12:00:00 AM,2063,0.705699,0.627799,
COLORECTAL,1405,1989,70.638500,1673,2666,62.753100,6564,6565,273,1,1/5/2017 12:00:00 AM,2063,0.706385,0.627531,
COLORECTAL,1531,2167,70.650600,1817,2889,62.893700,6564,6565,273,1,1/6/2017 12:00:00 AM,2063,0.706506,0.628937,
COLORECTAL,1529,2165,70.623500,1815,2888,62.846200,6564,6565,273,1,1/8/2017 12:00:00 AM,2063,0.706235,0.628462,
COLORECTAL,1587,2247,70.627500,1884,2990,63.010000,6564,6565,273,1,1/9/2017 12:00:00 AM,2063,0.706275,0.630100,
COLORECTAL,1654,2344,70.563100,1956,3103,63.035700,6564,6565,273,1,1/10/2017 12:00:00 AM,2063,0.705631,0.630357,
COLORECTAL,1654,2342,70.623300,1956,3103,63.035700,6564,6565,273,1,1/11/2017 12:00:00 AM,2063,0.706233,0.630357,
COLORECTAL,1655,2344,70.605800,1957,3104,63.047600,6564,6565,273,1,1/12/2017 12:00:00 AM,2063,0.706058,0.630476,
COLORECTAL,1655,2344,70.605800,1957,3104,63.047600,6564,6565,273,1,1/13/2017 12:00:00 AM,2063,0.706058,0.630476,
COLORECTAL,1652,2341,70.568100,1955,3104,62.983200,6564,6565,273,1,1/15/2017 12:00:00 AM,2063,0.705681,0.629832,
COLORECTAL,1654,2344,70.563100,1956,3105,62.995100,6564,6565,273,1,1/16/2017 12:00:00 AM,2063,0.705631,0.629951,
COLORECTAL,1656,2348,70.528100,1956,3106,62.974800,6564,6565,273,1,1/17/2017 12:00:00 AM,2063,0.705281,0.629748,
COLORECTAL,1656,2350,70.468000,1956,3106,62.974800,6564,6565,273,1,1/18/2017 12:00:00 AM,2063,0.704680,0.629748,
COLORECTAL,1659,2355,70.445800,1959,3109,63.010600,6564,6565,273,1,1/19/2017 12:00:00 AM,2063,0.704458,0.630106,
COLORECTAL,1658,2356,70.373500,1958,3108,62.998700,6564,6565,273,1,1/20/2017 12:00:00 AM,2063,0.703735,0.629987,
COLORECTAL,1655,2353,70.335700,1957,3108,62.966500,6564,6565,273,1,1/22/2017 12:00:00 AM,2063,0.703357,0.629665,
COLORECTAL,1659,2352,70.535700,1961,3106,63.135800,6564,6565,273,1,1/23/2017 12:00:00 AM,2063,0.705357,0.631358,
COLORECTAL,1654,2346,70.502900,1960,3106,63.103600,6564,6565,273,1,1/24/2017 12:00:00 AM,2063,0.705029,0.631036,
COLORECTAL,1654,2344,70.563100,1961,3105,63.156100,6564,6565,273,1,1/25/2017 12:00:00 AM,2063,0.705631,0.631561,
COLORECTAL,1651,2342,70.495300,1960,3105,63.123900,6564,6565,273,1,1/26/2017 12:00:00 AM,2063,0.704953,0.631239,
COLORECTAL,1651,2341,70.525400,1959,3105,63.091700,6564,6565,273,1,1/27/2017 12:00:00 AM,2063,0.705254,0.630917,
COLORECTAL,1648,2340,70.427300,1959,3107,63.051100,6564,6565,273,1,1/29/2017 12:00:00 AM,2063,0.704273,0.630511,
COLORECTAL,1652,2343,70.507800,1962,3107,63.147700,6564,6565,273,1,1/30/2017 12:00:00 AM,2063,0.705078,0.631477,
COLORECTAL,1650,2341,70.482600,1961,3108,63.095200,6564,6565,273,1,1/31/2017 12:00:00 AM,2063,0.704826,0.630952,
COLORECTAL,1653,2344,70.520400,1962,3109,63.107100,6564,6565,273,1,2/1/2017 12:00:00 AM,2063,0.705204,0.631071,
COLORECTAL,1653,2345,70.490400,1961,3111,63.034300,6564,6565,273,1,2/2/2017 12:00:00 AM,2063,0.704904,0.630343,
COLORECTAL,1653,2340,70.641000,1962,3111,63.066500,6564,6565,273,1,2/3/2017 12:00:00 AM,2063,0.706410,0.630665,
COLORECTAL,1655,2337,70.817200,1965,3110,63.183200,6564,6565,273,1,2/5/2017 12:00:00 AM,2063,0.708172,0.631832,
COLORECTAL,1656,2340,70.769200,1966,3111,63.195100,6564,6565,273,1,2/6/2017 12:00:00 AM,2063,0.707692,0.631951,
COLORECTAL,1655,2340,70.726400,1965,3109,63.203600,6564,6565,273,1,2/7/2017 12:00:00 AM,2063,0.707264,0.632036,
COLORECTAL,1655,2340,70.726400,1966,3109,63.235700,6564,6565,273,1,2/8/2017 12:00:00 AM,2063,0.707264,0.632357,
COLORECTAL,1653,2339,70.671200,1965,3109,63.203600,6564,6565,273,1,2/9/2017 12:00:00 AM,2063,0.706712,0.632036,
COLORECTAL,1653,2338,70.701400,1964,3110,63.151100,6564,6565,273,1,2/10/2017 12:00:00 AM,2063,0.707014,0.631511,
COLORECTAL,1650,2336,70.633500,1962,3110,63.086800,6564,6565,273,1,2/12/2017 12:00:00 AM,2063,0.706335,0.630868,
COLORECTAL,1649,2338,70.530300,1961,3109,63.074900,6564,6565,273,1,2/13/2017 12:00:00 AM,2063,0.705303,0.630749,
COLORECTAL,1653,2337,70.731700,1965,3106,63.264600,6564,6565,273,1,2/14/2017 12:00:00 AM,2063,0.707317,0.632646,
COLORECTAL,1653,2337,70.731700,1963,3106,63.200200,6564,6565,273,1,2/15/2017 12:00:00 AM,2063,0.707317,0.632002,
COLORECTAL,1649,2333,70.681500,1961,3105,63.156100,6564,6565,273,1,2/16/2017 12:00:00 AM,2063,0.706815,0.631561,
COLORECTAL,1646,2328,70.704400,1961,3103,63.196900,6564,6565,273,1,2/17/2017 12:00:00 AM,2063,0.707044,0.631969,
COLORECTAL,1643,2325,70.666600,1960,3104,63.144300,6564,6565,273,1,2/19/2017 12:00:00 AM,2063,0.706666,0.631443,
COLORECTAL,1647,2327,70.777800,1961,3103,63.196900,6564,6565,273,1,2/20/2017 12:00:00 AM,2063,0.707778,0.631969,
COLORECTAL,1645,2326,70.722200,1960,3103,63.164600,6564,6565,273,1,2/21/2017 12:00:00 AM,2063,0.707222,0.631646,
COLORECTAL,1642,2325,70.623600,1960,3102,63.185000,6564,6565,273,1,2/22/2017 12:00:00 AM,2063,0.706236,0.631850,
COLORECTAL,1645,2326,70.722200,1962,3102,63.249500,6564,6565,273,1,2/23/2017 12:00:00 AM,2063,0.707222,0.632495,
COLORECTAL,1643,2326,70.636200,1961,3103,63.196900,6564,6565,273,1,2/24/2017 12:00:00 AM,2063,0.706362,0.631969,
COLORECTAL,1640,2324,70.567900,1959,3103,63.132400,6564,6565,273,1,2/26/2017 12:00:00 AM,2063,0.705679,0.631324,
COLORECTAL,1642,2326,70.593200,1959,3101,63.173100,6564,6565,273,1,2/27/2017 12:00:00 AM,2063,0.705932,0.631731,
COLORECTAL,1638,2323,70.512200,1956,3099,63.117100,6564,6565,273,1,2/28/2017 12:00:00 AM,2063,0.705122,0.631171,
COLORECTAL,1639,2324,70.524900,1958,3100,63.161200,6564,6565,273,1,3/1/2017 12:00:00 AM,2063,0.705249,0.631612,
COLORECTAL,1635,2323,70.383100,1954,3100,63.032200,6564,6565,273,1,3/2/2017 12:00:00 AM,2063,0.703831,0.630322,
COLORECTAL,1632,2320,70.344800,1954,3098,63.072900,6564,6565,273,1,3/3/2017 12:00:00 AM,2063,0.703448,0.630729,
COLORECTAL,1630,2314,70.440700,1954,3099,63.052500,6564,6565,273,1,3/5/2017 12:00:00 AM,2063,0.704407,0.630525,
COLORECTAL,1633,2318,70.448600,1953,3099,63.020300,6564,6565,273,1,3/6/2017 12:00:00 AM,2063,0.704486,0.630203,
