metricname,seen_num,seen_denom,ptsseen_avg,all_num,all_denom,ptsall_avg,seen_norptid,all_norptid,metricarea_id,db_rsid,lastupdate,metric_id,seen_num_over_denom,all_num_over_denom,
COLORECTAL,2746,3680,74.619500,3133,4569,68.570800,6564,6565,273,1,1/1/2017 12:00:00 AM,2063,0.746195,0.685708,
COLORECTAL,2746,3681,74.599200,3133,4570,68.555700,6564,6565,273,1,1/2/2017 12:00:00 AM,2063,0.745992,0.685557,
COLORECTAL,2746,3681,74.599200,3134,4573,68.532600,6564,6565,273,1,1/3/2017 12:00:00 AM,2063,0.745992,0.685326,
COLORECTAL,2747,3679,74.667000,3137,4574,68.583200,6564,6565,273,1,1/4/2017 12:00:00 AM,2063,0.746670,0.685832,
COLORECTAL,2747,3679,74.667000,3137,4576,68.553300,6564,6565,273,1,1/5/2017 12:00:00 AM,2063,0.746670,0.685533,
COLORECTAL,2750,3681,74.707900,3140,4579,68.573900,6564,6565,273,1,1/6/2017 12:00:00 AM,2063,0.747079,0.685739,
COLORECTAL,2746,3679,74.639800,3138,4580,68.515200,6564,6565,273,1,1/8/2017 12:00:00 AM,2063,0.746398,0.685152,
COLORECTAL,2753,3689,74.627200,3137,4582,68.463500,6564,6565,273,1,1/9/2017 12:00:00 AM,2063,0.746272,0.684635,
COLORECTAL,2747,3684,74.565600,3137,4584,68.433600,6564,6565,273,1,1/10/2017 12:00:00 AM,2063,0.745656,0.684336,
COLORECTAL,2742,3681,74.490600,3137,4585,68.418700,6564,6565,273,1,1/11/2017 12:00:00 AM,2063,0.744906,0.684187,
COLORECTAL,2737,3676,74.455900,3137,4587,68.388900,6564,6565,273,1,1/12/2017 12:00:00 AM,2063,0.744559,0.683889,
COLORECTAL,2735,3673,74.462200,3135,4589,68.315500,6564,6565,273,1,1/13/2017 12:00:00 AM,2063,0.744622,0.683155,
COLORECTAL,2732,3671,74.421100,3131,4588,68.243200,6564,6565,273,1,1/15/2017 12:00:00 AM,2063,0.744211,0.682432,
COLORECTAL,2732,3676,74.319900,3129,4590,68.169900,6564,6565,273,1,1/16/2017 12:00:00 AM,2063,0.743199,0.681699,
COLORECTAL,2733,3683,74.205800,3130,4594,68.132300,6564,6565,273,1,1/17/2017 12:00:00 AM,2063,0.742058,0.681323,
COLORECTAL,2734,3684,74.212800,3130,4597,68.087800,6564,6565,273,1,1/18/2017 12:00:00 AM,2063,0.742128,0.680878,
COLORECTAL,2739,3688,74.267800,3132,4600,68.086900,6564,6565,273,1,1/19/2017 12:00:00 AM,2063,0.742678,0.680869,
COLORECTAL,2737,3689,74.193500,3132,4599,68.101700,6564,6565,273,1,1/20/2017 12:00:00 AM,2063,0.741935,0.681017,
COLORECTAL,2736,3687,74.206600,3133,4599,68.123500,6564,6565,273,1,1/22/2017 12:00:00 AM,2063,0.742066,0.681235,
COLORECTAL,2739,3695,74.127100,3133,4601,68.093800,6564,6565,273,1,1/23/2017 12:00:00 AM,2063,0.741271,0.680938,
COLORECTAL,2746,3701,74.196100,3140,4603,68.216300,6564,6565,273,1,1/24/2017 12:00:00 AM,2063,0.741961,0.682163,
COLORECTAL,2744,3699,74.182200,3140,4603,68.216300,6564,6565,273,1,1/25/2017 12:00:00 AM,2063,0.741822,0.682163,
COLORECTAL,2743,3699,74.155100,3141,4602,68.252900,6564,6565,273,1,1/26/2017 12:00:00 AM,2063,0.741551,0.682529,
COLORECTAL,2745,3702,74.149100,3141,4603,68.238100,6564,6565,273,1,1/27/2017 12:00:00 AM,2063,0.741491,0.682381,
COLORECTAL,2737,3696,74.053000,3136,4603,68.129400,6564,6565,273,1,1/29/2017 12:00:00 AM,2063,0.740530,0.681294,
COLORECTAL,2742,3700,74.108100,3140,4605,68.186700,6564,6565,273,1,1/30/2017 12:00:00 AM,2063,0.741081,0.681867,
COLORECTAL,2742,3703,74.048000,3141,4607,68.178800,6564,6565,273,1,1/31/2017 12:00:00 AM,2063,0.740480,0.681788,
COLORECTAL,2745,3704,74.109000,3146,4606,68.302200,6564,6565,273,1,2/1/2017 12:00:00 AM,2063,0.741090,0.683022,
COLORECTAL,2751,3708,74.190900,3150,4606,68.389000,6564,6565,273,1,2/2/2017 12:00:00 AM,2063,0.741909,0.683890,
COLORECTAL,2754,3710,74.231800,3154,4607,68.461000,6564,6565,273,1,2/3/2017 12:00:00 AM,2063,0.742318,0.684610,
COLORECTAL,2748,3706,74.150000,3149,4605,68.382100,6564,6565,273,1,2/5/2017 12:00:00 AM,2063,0.741500,0.683821,
COLORECTAL,2748,3706,74.150000,3149,4605,68.382100,6564,6565,273,1,2/6/2017 12:00:00 AM,2063,0.741500,0.683821,
COLORECTAL,2747,3706,74.123000,3149,4605,68.382100,6564,6565,273,1,2/7/2017 12:00:00 AM,2063,0.741230,0.683821,
COLORECTAL,2750,3706,74.203900,3153,4608,68.424400,6564,6565,273,1,2/8/2017 12:00:00 AM,2063,0.742039,0.684244,
COLORECTAL,2745,3697,74.249300,3155,4608,68.467800,6564,6565,273,1,2/9/2017 12:00:00 AM,2063,0.742493,0.684678,
COLORECTAL,2747,3701,74.223100,3155,4608,68.467800,6564,6565,273,1,2/10/2017 12:00:00 AM,2063,0.742231,0.684678,
COLORECTAL,2744,3703,74.102000,3153,4611,68.379900,6564,6565,273,1,2/12/2017 12:00:00 AM,2063,0.741020,0.683799,
COLORECTAL,2746,3708,74.056000,3153,4613,68.350300,6564,6565,273,1,2/13/2017 12:00:00 AM,2063,0.740560,0.683503,
