metricname,seen_num,seen_denom,ptsseen_avg,all_num,all_denom,ptsall_avg,seen_norptid,all_norptid,metricarea_id,db_rsid,lastupdate,metric_id,seen_num_over_denom,all_num_over_denom,
COLORECTAL,1235,2116,58.364800,1386,2784,49.784400,6564,6565,273,1,1/1/2017 12:00:00 AM,2063,0.583648,0.497844,
COLORECTAL,1234,2116,58.317500,1385,2784,49.748500,6564,6565,273,1,1/2/2017 12:00:00 AM,2063,0.583175,0.497485,
COLORECTAL,1234,2116,58.317500,1385,2786,49.712800,6564,6565,273,1,1/3/2017 12:00:00 AM,2063,0.583175,0.497128,
COLORECTAL,1234,2116,58.317500,1385,2786,49.712800,6564,6565,273,1,1/4/2017 12:00:00 AM,2063,0.583175,0.497128,
COLORECTAL,1233,2113,58.353000,1383,2784,49.676700,6564,6565,273,1,1/5/2017 12:00:00 AM,2063,0.583530,0.496767,
COLORECTAL,1232,2111,58.360900,1382,2781,49.694300,6564,6565,273,1,1/6/2017 12:00:00 AM,2063,0.583609,0.496943,
COLORECTAL,1233,2111,58.408300,1383,2781,49.730300,6564,6565,273,1,1/8/2017 12:00:00 AM,2063,0.584083,0.497303,
COLORECTAL,1232,2110,58.388600,1381,2779,49.694100,6564,6565,273,1,1/9/2017 12:00:00 AM,2063,0.583886,0.496941,
COLORECTAL,1234,2106,58.594400,1381,2775,49.765700,6564,6565,273,1,1/10/2017 12:00:00 AM,2063,0.585944,0.497657,
COLORECTAL,1236,2107,58.661600,1384,2776,49.855900,6564,6565,273,1,1/11/2017 12:00:00 AM,2063,0.586616,0.498559,
COLORECTAL,1239,2112,58.664700,1384,2774,49.891800,6564,6565,273,1,1/12/2017 12:00:00 AM,2063,0.586647,0.498918,
COLORECTAL,1236,2111,58.550400,1381,2773,49.801600,6564,6565,273,1,1/13/2017 12:00:00 AM,2063,0.585504,0.498016,
COLORECTAL,1235,2108,58.586300,1381,2773,49.801600,6564,6565,273,1,1/15/2017 12:00:00 AM,2063,0.585863,0.498016,
COLORECTAL,1235,2108,58.586300,1381,2775,49.765700,6564,6565,273,1,1/16/2017 12:00:00 AM,2063,0.585863,0.497657,
COLORECTAL,1236,2104,58.745200,1383,2775,49.837800,6564,6565,273,1,1/17/2017 12:00:00 AM,2063,0.587452,0.498378,
COLORECTAL,1234,2101,58.733900,1383,2774,49.855800,6564,6565,273,1,1/18/2017 12:00:00 AM,2063,0.587339,0.498558,
COLORECTAL,1234,2100,58.761900,1383,2774,49.855800,6564,6565,273,1,1/19/2017 12:00:00 AM,2063,0.587619,0.498558,
COLORECTAL,1234,2101,58.733900,1383,2775,49.837800,6564,6565,273,1,1/20/2017 12:00:00 AM,2063,0.587339,0.498378,
COLORECTAL,1232,2099,58.694600,1381,2773,49.801600,6564,6565,273,1,1/22/2017 12:00:00 AM,2063,0.586946,0.498016,
COLORECTAL,1234,2104,58.650100,1383,2774,49.855800,6564,6565,273,1,1/23/2017 12:00:00 AM,2063,0.586501,0.498558,
COLORECTAL,1236,2106,58.689400,1383,2774,49.855800,6564,6565,273,1,1/24/2017 12:00:00 AM,2063,0.586894,0.498558,
COLORECTAL,1237,2104,58.792700,1386,2778,49.892000,6564,6565,273,1,1/25/2017 12:00:00 AM,2063,0.587927,0.498920,
COLORECTAL,1237,2107,58.709000,1386,2777,49.909900,6564,6565,273,1,1/26/2017 12:00:00 AM,2063,0.587090,0.499099,
COLORECTAL,1238,2109,58.700800,1387,2778,49.928000,6564,6565,273,1,1/27/2017 12:00:00 AM,2063,0.587008,0.499280,
COLORECTAL,1234,2106,58.594400,1383,2777,49.801900,6564,6565,273,1,1/29/2017 12:00:00 AM,2063,0.585944,0.498019,
COLORECTAL,1234,2105,58.622300,1383,2775,49.837800,6564,6565,273,1,1/30/2017 12:00:00 AM,2063,0.586223,0.498378,
COLORECTAL,1235,2106,58.641900,1384,2777,49.837900,6564,6565,273,1,1/31/2017 12:00:00 AM,2063,0.586419,0.498379,
COLORECTAL,1234,2108,58.538800,1386,2779,49.874000,6564,6565,273,1,2/1/2017 12:00:00 AM,2063,0.585388,0.498740,
COLORECTAL,1235,2107,58.614100,1387,2777,49.945900,6564,6565,273,1,2/2/2017 12:00:00 AM,2063,0.586141,0.499459,
COLORECTAL,1233,2109,58.463700,1387,2780,49.892000,6564,6565,273,1,2/3/2017 12:00:00 AM,2063,0.584637,0.498920,
COLORECTAL,1232,2108,58.444000,1386,2781,49.838100,6564,6565,273,1,2/5/2017 12:00:00 AM,2063,0.584440,0.498381,
COLORECTAL,1232,2111,58.360900,1386,2781,49.838100,6564,6565,273,1,2/6/2017 12:00:00 AM,2063,0.583609,0.498381,
COLORECTAL,1234,2111,58.455700,1388,2781,49.910100,6564,6565,273,1,2/7/2017 12:00:00 AM,2063,0.584557,0.499101,
COLORECTAL,1233,2112,58.380600,1387,2781,49.874100,6564,6565,273,1,2/8/2017 12:00:00 AM,2063,0.583806,0.498741,
COLORECTAL,1233,2112,58.380600,1389,2785,49.874300,6564,6565,273,1,2/9/2017 12:00:00 AM,2063,0.583806,0.498743,
COLORECTAL,1234,2113,58.400300,1388,2779,49.946000,6564,6565,273,1,2/10/2017 12:00:00 AM,2063,0.584003,0.499460,
COLORECTAL,1233,2112,58.380600,1387,2778,49.928000,6564,6565,273,1,2/12/2017 12:00:00 AM,2063,0.583806,0.499280,
COLORECTAL,1234,2113,58.400300,1386,2778,49.892000,6564,6565,273,1,2/13/2017 12:00:00 AM,2063,0.584003,0.498920,
COLORECTAL,1236,2117,58.384500,1386,2778,49.892000,6564,6565,273,1,2/14/2017 12:00:00 AM,2063,0.583845,0.498920,
COLORECTAL,1240,2119,58.518100,1390,2779,50.017900,6564,6565,273,1,2/15/2017 12:00:00 AM,2063,0.585181,0.500179,
COLORECTAL,1240,2121,58.462900,1388,2775,50.018000,6564,6565,273,1,2/16/2017 12:00:00 AM,2063,0.584629,0.500180,
COLORECTAL,1241,2126,58.372500,1388,2776,50.000000,6564,6565,273,1,2/17/2017 12:00:00 AM,2063,0.583725,0.500000,
COLORECTAL,1240,2123,58.407900,1388,2776,50.000000,6564,6565,273,1,2/19/2017 12:00:00 AM,2063,0.584079,0.500000,
