metricname,seen_num,seen_denom,ptsseen_avg,all_num,all_denom,ptsall_avg,seen_norptid,all_norptid,metricarea_id,db_rsid,lastupdate,metric_id,seen_num_over_denom,all_num_over_denom,
COLORECTAL,2054,2916,70.438900,2362,3689,64.028100,6564,6565,273,1,1/1/2017 12:00:00 AM,2063,0.704389,0.640281,
COLORECTAL,2053,2916,70.404600,2361,3689,64.001000,6564,6565,273,1,1/2/2017 12:00:00 AM,2063,0.704046,0.640010,
COLORECTAL,2053,2916,70.404600,2362,3691,63.993400,6564,6565,273,1,1/3/2017 12:00:00 AM,2063,0.704046,0.639934,
COLORECTAL,2055,2913,70.545800,2363,3690,64.037900,6564,6565,273,1,1/4/2017 12:00:00 AM,2063,0.705458,0.640379,
COLORECTAL,2057,2909,70.711500,2364,3688,64.099700,6564,6565,273,1,1/5/2017 12:00:00 AM,2063,0.707115,0.640997,
COLORECTAL,2059,2909,70.780300,2367,3689,64.163700,6564,6565,273,1,1/6/2017 12:00:00 AM,2063,0.707803,0.641637,
COLORECTAL,2057,2908,70.735900,2365,3688,64.126800,6564,6565,273,1,1/8/2017 12:00:00 AM,2063,0.707359,0.641268,
COLORECTAL,2057,2910,70.687200,2365,3691,64.074700,6564,6565,273,1,1/9/2017 12:00:00 AM,2063,0.706872,0.640747,
COLORECTAL,2058,2913,70.648800,2363,3689,64.055200,6564,6565,273,1,1/10/2017 12:00:00 AM,2063,0.706488,0.640552,
COLORECTAL,2059,2911,70.731700,2364,3690,64.065000,6564,6565,273,1,1/11/2017 12:00:00 AM,2063,0.707317,0.640650,
COLORECTAL,2059,2913,70.683100,2365,3692,64.057400,6564,6565,273,1,1/12/2017 12:00:00 AM,2063,0.706831,0.640574,
COLORECTAL,2058,2916,70.576100,2365,3692,64.057400,6564,6565,273,1,1/13/2017 12:00:00 AM,2063,0.705761,0.640574,
COLORECTAL,2057,2915,70.566000,2366,3692,64.084500,6564,6565,273,1,1/15/2017 12:00:00 AM,2063,0.705660,0.640845,
COLORECTAL,2055,2914,70.521600,2363,3687,64.090000,6564,6565,273,1,1/16/2017 12:00:00 AM,2063,0.705216,0.640900,
COLORECTAL,2057,2917,70.517600,2363,3686,64.107400,6564,6565,273,1,1/17/2017 12:00:00 AM,2063,0.705176,0.641074,
COLORECTAL,2056,2918,70.459200,2363,3687,64.090000,6564,6565,273,1,1/18/2017 12:00:00 AM,2063,0.704592,0.640900,
COLORECTAL,2055,2918,70.424900,2361,3684,64.087900,6564,6565,273,1,1/19/2017 12:00:00 AM,2063,0.704249,0.640879,
COLORECTAL,2056,2918,70.459200,2362,3685,64.097600,6564,6565,273,1,1/20/2017 12:00:00 AM,2063,0.704592,0.640976,
COLORECTAL,2054,2919,70.366500,2360,3686,64.026000,6564,6565,273,1,1/22/2017 12:00:00 AM,2063,0.703665,0.640260,
COLORECTAL,2058,2924,70.383000,2362,3689,64.028100,6564,6565,273,1,1/23/2017 12:00:00 AM,2063,0.703830,0.640281,
COLORECTAL,2057,2922,70.396900,2360,3686,64.026000,6564,6565,273,1,1/24/2017 12:00:00 AM,2063,0.703969,0.640260,
COLORECTAL,2063,2927,70.481700,2363,3686,64.107400,6564,6565,273,1,1/25/2017 12:00:00 AM,2063,0.704817,0.641074,
COLORECTAL,2065,2928,70.525900,2362,3685,64.097600,6564,6565,273,1,1/26/2017 12:00:00 AM,2063,0.705259,0.640976,
COLORECTAL,2065,2926,70.574100,2362,3685,64.097600,6564,6565,273,1,1/27/2017 12:00:00 AM,2063,0.705741,0.640976,
COLORECTAL,2056,2921,70.386800,2356,3684,63.952200,6564,6565,273,1,1/29/2017 12:00:00 AM,2063,0.703868,0.639522,
COLORECTAL,2058,2927,70.310800,2354,3687,63.845900,6564,6565,273,1,1/30/2017 12:00:00 AM,2063,0.703108,0.638459,
COLORECTAL,2056,2924,70.314600,2353,3687,63.818800,6564,6565,273,1,1/31/2017 12:00:00 AM,2063,0.703146,0.638188,
COLORECTAL,2059,2925,70.393100,2355,3688,63.855700,6564,6565,273,1,2/1/2017 12:00:00 AM,2063,0.703931,0.638557,
COLORECTAL,2060,2923,70.475500,2359,3687,63.981500,6564,6565,273,1,2/2/2017 12:00:00 AM,2063,0.704755,0.639815,
COLORECTAL,2059,2919,70.537800,2360,3688,63.991300,6564,6565,273,1,2/3/2017 12:00:00 AM,2063,0.705378,0.639913,
COLORECTAL,2057,2917,70.517600,2359,3687,63.981500,6564,6565,273,1,2/5/2017 12:00:00 AM,2063,0.705176,0.639815,
COLORECTAL,2062,2922,70.568100,2362,3689,64.028100,6564,6565,273,1,2/6/2017 12:00:00 AM,2063,0.705681,0.640281,
COLORECTAL,2063,2924,70.554000,2364,3690,64.065000,6564,6565,273,1,2/7/2017 12:00:00 AM,2063,0.705540,0.640650,
COLORECTAL,2063,2924,70.554000,2364,3690,64.065000,6564,6565,273,1,2/8/2017 12:00:00 AM,2063,0.705540,0.640650,
COLORECTAL,2062,2919,70.640600,2364,3688,64.099700,6564,6565,273,1,2/9/2017 12:00:00 AM,2063,0.706406,0.640997,
COLORECTAL,2062,2918,70.664800,2364,3689,64.082400,6564,6565,273,1,2/10/2017 12:00:00 AM,2063,0.706648,0.640824,
COLORECTAL,2060,2915,70.668900,2364,3690,64.065000,6564,6565,273,1,2/12/2017 12:00:00 AM,2063,0.706689,0.640650,
COLORECTAL,2064,2920,70.684900,2365,3689,64.109500,6564,6565,273,1,2/13/2017 12:00:00 AM,2063,0.706849,0.641095,
COLORECTAL,2063,2916,70.747500,2367,3690,64.146300,6564,6565,273,1,2/14/2017 12:00:00 AM,2063,0.707475,0.641463,
COLORECTAL,2064,2914,70.830400,2368,3690,64.173400,6564,6565,273,1,2/15/2017 12:00:00 AM,2063,0.708304,0.641734,
COLORECTAL,2065,2916,70.816100,2367,3691,64.128900,6564,6565,273,1,2/16/2017 12:00:00 AM,2063,0.708161,0.641289,
COLORECTAL,2067,2915,70.909000,2367,3692,64.111500,6564,6565,273,1,2/17/2017 12:00:00 AM,2063,0.709090,0.641115,
COLORECTAL,2065,2914,70.864700,2367,3693,64.094200,6564,6565,273,1,2/19/2017 12:00:00 AM,2063,0.708647,0.640942,
COLORECTAL,2070,2919,70.914600,2369,3696,64.096300,6564,6565,273,1,2/20/2017 12:00:00 AM,2063,0.709146,0.640963,
COLORECTAL,2071,2919,70.948900,2369,3695,64.113600,6564,6565,273,1,2/21/2017 12:00:00 AM,2063,0.709489,0.641136,
COLORECTAL,2067,2913,70.957700,2367,3693,64.094200,6564,6565,273,1,2/22/2017 12:00:00 AM,2063,0.709577,0.640942,
COLORECTAL,2067,2910,71.030900,2368,3695,64.086600,6564,6565,273,1,2/23/2017 12:00:00 AM,2063,0.710309,0.640866,
COLORECTAL,2070,2914,71.036300,2370,3699,64.071300,6564,6565,273,1,2/24/2017 12:00:00 AM,2063,0.710363,0.640713,
COLORECTAL,2066,2909,71.020900,2371,3700,64.081000,6564,6565,273,1,2/26/2017 12:00:00 AM,2063,0.710209,0.640810,
COLORECTAL,2065,2909,70.986500,2370,3700,64.054000,6564,6565,273,1,2/27/2017 12:00:00 AM,2063,0.709865,0.640540,
COLORECTAL,2063,2907,70.966600,2369,3701,64.009700,6564,6565,273,1,2/28/2017 12:00:00 AM,2063,0.709666,0.640097,
COLORECTAL,2063,2906,70.991000,2369,3702,63.992400,6564,6565,273,1,3/1/2017 12:00:00 AM,2063,0.709910,0.639924,
COLORECTAL,2064,2904,71.074300,2373,3701,64.117800,6564,6565,273,1,3/2/2017 12:00:00 AM,2063,0.710743,0.641178,
COLORECTAL,2064,2904,71.074300,2373,3702,64.100400,6564,6565,273,1,3/3/2017 12:00:00 AM,2063,0.710743,0.641004,
COLORECTAL,2064,2905,71.049900,2373,3703,64.083100,6564,6565,273,1,3/5/2017 12:00:00 AM,2063,0.710499,0.640831,
COLORECTAL,2063,2903,71.064400,2371,3703,64.029100,6564,6565,273,1,3/6/2017 12:00:00 AM,2063,0.710644,0.640291,
